[2025-12-01 00:39:55,970][__main__][INFO] - Instantiating datamodule <src_gmmm.data.datamodule.DataModule>
[2025-12-01 00:40:28,849][__main__][INFO] - Instantiating lit_module <src_gmmm.lit.module.LitModule>
[2025-12-01 00:40:29,058][__main__][INFO] - Instantiating callbacks...
[2025-12-01 00:40:29,058][src_gmmm.utils.utils][INFO] - Instantiating callback <pytorch_lightning.callbacks.ModelCheckpoint>
[2025-12-01 00:40:29,067][src_gmmm.utils.utils][INFO] - Instantiating callback <src_gmmm.utils.callback.LogSampledAtomsCallback>
[2025-12-01 00:40:29,074][__main__][INFO] - Instantiating loggers...
[2025-12-01 00:40:29,074][src_gmmm.utils.utils][INFO] - Instantiating logger <pytorch_lightning.loggers.wandb.WandbLogger>
[2025-12-01 00:40:32,474][__main__][INFO] - Instantiating trainer <pytorch_lightning.Trainer>
[2025-12-01 00:40:32,515][__main__][INFO] - Logging hyperparameters!
[2025-12-01 00:40:32,569][__main__][INFO] - Starting training!
[2025-12-01 00:41:58,266][src_gmmm.utils.utils][INFO] - Metric name is None! Skipping metric value retrieval...
